VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,62705.88,3/24/22
"U.S. LEGAL SUPPORT, INCORPORATED",ADMINISTRATION & HR,126.5,9/1/22
"INTERSECTION MEDIA, LLC",ADVERTISING & PROMOTION,5000,9/8/22
"ARAMARK UNIFORM SERVICES, INC.",GENERAL EXPENSES,9.08,5/12/22
GENUINE PARTS COMPANY (NAPA),ADMINISTRATION & HR,15792,5/24/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,4896,3/1/22
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,422037.65,3/1/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,965.5,3/8/22
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,4449.75,10/18/22
"SIEMENS INDUSTRY, INC.",DIRECT PURCHASES,4516.9,9/29/22
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,1622020.31,1/19/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,3/24/22
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,2128,6/16/22
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,11456.68,4/28/22
LEAH WARGOLET,ADMINISTRATION & HR,125,7/14/22
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,352.6,4/21/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,1/6/22
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,951,5/26/22
Konecranes,MAINTENANCE & REPAIRS,11707.89,12/15/22
"QUANTUM CROSSINGS, LLC",FINANCIAL & TREAS SVCS,426458.11,12/1/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,60.5,11/10/22
"ARAMARK UNIFORM SERVICES, INC.",CONTRACTUAL SERVICES,105.32,2/17/22
APPLIED INDUSTRIAL TECHNOLOGIES,DIRECT PURCHASES,3991.5,7/7/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60,8/18/22
UNIVERSITY OF WISCONSIN- MADISON,TRAVEL & MEETING EXPENSE,1195,9/1/22
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,1495.98,11/3/22
HOLLAND & KNIGHT LLP,LEGAL COSTS,826,8/18/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4400,3/17/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,70,9/20/22
PNC BANK,MAINTENANCE & REPAIRS,49.02,2/15/22
COMPASS MINERALS AMERICA INC,DIRECT PURCHASES,19202.64,12/14/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,1686,2/24/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,3/24/22
"ZIPCAR, INC.",EQUIPMENT RENTAL,42.35,8/30/22
MCMANUS DIRECT,ADVERTISING & PROMOTION,1200,5/5/22
"CORE MECHANICAL, INC.",MAINTENANCE & REPAIRS,6295,9/29/22
"CHICAGO SUN-TIMES, INCORPORATED dba Sun-Times Media Productions, LLC",GENERAL EXPENSES,696.8,9/12/22
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,19193.8,11/17/22
REHABILITATION INSTITUTE OF CHICAGO,ADMINISTRATION & HR,750,8/11/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
"PHAMATECH, INC.",ADMINISTRATION & HR,5115,1/13/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,2695,4/26/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,5/5/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,10/17/22
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5512.84,3/24/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60,8/18/22
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,5816,7/7/22
LATHROP GAGE LLP,LEGAL COSTS,130.5,9/29/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1957.33,12/29/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,9072.63,2/8/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,675,5/12/22
CORPORATE CONCEPTS INC,MAINTENANCE & REPAIRS,15532.5,8/25/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,513.48,5/10/22
"WISCO, INC.",MAINTENANCE & REPAIRS,818.4,3/17/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,10196.25,12/8/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1484.55,2/3/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,49564.23,7/14/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,1/5/22
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,82642.55,8/30/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,44859.62,3/10/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,7044.93,12/6/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,580,8/18/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,14651.38,7/7/22
AT & T CORP,UTILITIES EXPENSE,46507.33,8/4/22
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,704.9,10/17/22
PNC BANK,TRAVEL & MEETING EXPENSE,2376.73,9/15/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1661.6,3/17/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,130420.21,12/15/22
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,3775,4/20/22
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,41518.24,1/13/22
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,45708.63,5/12/22
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,9328.33,7/29/22
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,30000,11/1/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,2969.44,12/29/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1948.9,12/22/22
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,260.66,1/26/22
"GARTNER, INCORPORATED",GENERAL EXPENSES,43638,2/10/22
CITY OF BURBANK,GENERAL EXPENSES,100,3/17/22
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,10319.02,3/22/22
JAF REPORTING,LEGAL COSTS,680.6,2/3/22
CK REPORTING,LEGAL COSTS,962.6,4/21/22
CINTAS CORPORATION,DIRECT PURCHASES,95.54,1/27/22
SALVATORE PRESCOTT & PORTER PLLC,LEGAL COSTS,9958.75,10/27/22
TOWN OF CICERO,UTILITIES EXPENSE,2125.84,12/22/22
SDI PRESENCE LLC,TECHNOLOGY SERVICES,304779,3/1/22
"ORACLE AMERICA, INC.",TECHNOLOGY SERVICES,74859.94,3/29/22
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,1039.16,5/3/22
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,9/13/22
MIDWEST ORTHOPAEDIC CONSULTANTS,ADMINISTRATION & HR,750,3/14/22
COMPUTER AID INC,TECHNOLOGY SERVICES,45398.43,6/14/22
PNC BANK,MAINTENANCE & REPAIRS,2196.22,9/15/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,3/24/22
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,1470,12/1/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1335.7,9/1/22
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,850,8/9/22
ANCEL GLINK P.C.,LEGAL COSTS,8175,10/27/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,21232.63,6/16/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,882.65,7/29/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,187.5,8/25/22
"LUMINATOR TECHNOLOGY GROUP, INC.",MAINTENANCE & REPAIRS,28875,8/9/22
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,6000,10/17/22
"WINKLER'S TREE SERVICE, INC.",CONTRACTUAL SERVICES,3598,6/16/22
THE CAREER CENTER UNIVERSITY OF ILLINOIS,ADVERTISING & PROMOTION,200,3/10/22
KEEFE REPORTING COMPANY,LEGAL COSTS,132.95,6/16/22
PACER SERVICE CENTER,GENERAL EXPENSES,243.8,1/18/22
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000,8/25/22
MEDIAAGILITY INC,TECHNOLOGY SERVICES,3040.77,5/5/22
AURIGA CORPORATION,GENERAL EXPENSES,39643.12,9/1/22
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,7374.33,1/5/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,10605,9/1/22
OAK PARK POLICE DEPT,LEGAL COSTS,5,1/13/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,11216.06,2/22/22
TAQUERIA HUENTITAN,GENERAL EXPENSES,291.25,11/3/22
PNC BANK,ADVERTISING & PROMOTION,1608.84,5/17/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,7424.61,5/24/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,38557.57,1/18/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4717.3,7/29/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,30170.85,12/15/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,7348.7,12/20/22
STAPLES ADVANTAGE,DIRECT PURCHASES,163.24,4/19/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,8198.19,9/29/22
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,3785,5/10/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,1330,10/17/22
"MOBILE MINI, INC",EQUIPMENT RENTAL,3081,11/23/22
SCOTT E. GLASER M.D.,ADMINISTRATION & HR,750,2/3/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,105,3/10/22
EHC CANADA INC. d/b/a EHC GLOBAL,DIRECT PURCHASES,5550,10/17/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2346.54,10/18/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,8/25/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,7641.71,5/19/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,10985,7/29/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,7558.83,3/10/22
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265,7/19/22
*HI-TEK ENVIRONMENTAL- d/b/a STAT,CONTRACTUAL SERVICES,7,5/26/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,695.61,2/24/22
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,15795.45,4/5/22
DAVIS BANCORP,FINANCIAL & TREAS SVCS,98272.48,11/17/22
POSTAL PARTNERS,GENERAL EXPENSES,295.13,5/12/22
"ILLINOIS BONE & JOINT INSTITUTE, LLC",ADMINISTRATION & HR,187.5,12/1/22
"LUMINATOR TECHNOLOGY GROUP, INC.",FINANCIAL & TREAS SVCS,81520.64,11/1/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,2/24/22
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,50818.24,5/10/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4767.82,11/29/22
HAPPY HANDS CLEANING SERVICE LLC,MAINTENANCE & REPAIRS,1666.67,12/29/22
CLAREMONT LLC,CONTRACTUAL SERVICES,555,8/4/22
MITCHELL FOOT AND ANKLE,ADMINISTRATION & HR,187.5,10/6/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,4872.24,6/24/22
"WISCO, INC.",MAINTENANCE & REPAIRS,176.42,7/14/22
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,245,7/7/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,36870.65,2/1/22
DAVIS BANCORP,FINANCIAL & TREAS SVCS,142058.56,9/22/22
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265,8/23/22
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,1780,2/1/22
"DATA TEC SYSTEMS, INC.",CONTRACTUAL SERVICES,1632,1/27/22
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,655,10/6/22
NSH USA CORPORATION,DIRECT PURCHASES,12730,6/21/22
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1070.87,5/12/22
ABA FUND FOR JUSTICE AND EDUCATION,GENERAL EXPENSES,750,1/27/22
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,TRAVEL & MEETING EXPENSE,1100,9/30/22
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,1620,1/27/22
DELL MARKETING L.P.,TECHNOLOGY SERVICES,76840,2/17/22
"DATA TEC SYSTEMS, INC.",CONTRACTUAL SERVICES,1632,10/11/22
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,6740,1/19/22
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,7450,11/3/22
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,120,3/29/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1090.22,5/26/22
COMPASS MINERALS AMERICA INC,DIRECT PURCHASES,6978.97,9/21/22
MP2 ENERGY NE LLC,UTILITIES EXPENSE,4479.13,8/30/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,522.06,8/4/22
CORPORATE CONCEPTS INC,GENERAL EXPENSES,2242.23,6/30/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,32681.36,1/10/22
COMPUTER AID INC,TECHNOLOGY SERVICES,18646.4,10/4/22
DAVID WISE,CONTRACTUAL SERVICES,12800,3/3/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,3/24/22
DUPAGE COUNTY SHERIFF,LEGAL COSTS,50,8/18/22
KONE SPARES,DIRECT PURCHASES,1578,5/5/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,6/9/22
DUPAGE COUNTY SHERIFF DEPT,LEGAL COSTS,57,11/23/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10549.37,2/17/22
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,6293.7,4/7/22
VTECH SOLUTION INC,CONTRACTUAL SERVICES,2655,7/14/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,773007.96,4/5/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,16325.27,6/16/22
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,32835.34,12/29/22
"PROMPT ELECTRIC, INC.",MAINTENANCE & REPAIRS,2935,3/1/22
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054,6/2/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,56704.84,2/17/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10166.04,3/29/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,28935.87,11/17/22
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,21125,7/21/22
Konecranes,MAINTENANCE & REPAIRS,1282.5,1/5/22
COZEN O'CONNOR PUBLIC STRATEGIES,CONTRACTUAL SERVICES,6000,12/6/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,1540,9/22/22
"ESRI, INC.",MAINTENANCE & REPAIRS,35094,1/13/22
MORTON SALT COMPANY,DIRECT PURCHASES,9765.33,2/10/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,67297,2/15/22
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,38980.86,12/1/22
"ZIPCAR, INC.",EQUIPMENT RENTAL,1057.72,1/27/22
CHICAGO TRIBUNE,GENERAL EXPENSES,159.92,8/4/22
Tribologik Corp,CONTRACTUAL SERVICES,6232,4/21/22
AT & T CORP,UTILITIES EXPENSE,659987.06,12/1/22
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,1542.93,9/29/22
CLAREMONT LLC,CONTRACTUAL SERVICES,2548.45,5/19/22
VTECH SOLUTION INC,CONSULTING,6400,6/2/22
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,18746.37,8/18/22
"GENFARE, A DIVISION OF SPX CORPORATION",DIRECT PURCHASES,84666.67,6/24/22
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,448,5/26/22
"WISCO, INC.",MAINTENANCE & REPAIRS,854.36,9/22/22
OPTUM 360,GENERAL EXPENSES,134.9,7/7/22
Terrence J Schaffner,CONTRACTUAL SERVICES,5756.25,10/17/22
"THOMPSON COBURN, LLC",LEGAL COSTS,11682,3/8/22
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,1113.9,12/15/22
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,330,3/10/22
ACCO BRANDS USA LLC,MAINTENANCE & REPAIRS,39893.98,2/10/22
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,9656.41,6/9/22
MURNANE PAPER CO.,MAINTENANCE & REPAIRS,1716,11/23/22
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,186,11/29/22
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,DIRECT PURCHASES,28575.33,7/21/22
VILLAGE OF RIVER GROVE,UTILITIES EXPENSE,126.79,2/24/22
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,6922.6,11/3/22
"*MOTR GRAFX, LLC",EQUIPMENT RENTAL,3050,7/29/22
RELIABLE FIRE EQUIPMENT CO,MAINTENANCE & REPAIRS,4291.53,4/20/22
CYNTHIA A. PAVESICH & ASSOC.,LEGAL COSTS,136,10/27/22
TAB SERVICE COMPANY,GENERAL EXPENSES,2720.46,8/18/22
CINTAS CORPORATION,DIRECT PURCHASES,95.54,1/19/22
"*ALVAREZ, INC.",CONTRACTUAL SERVICES,32277.8,8/16/22
PNC BANK,TECHNOLOGY SERVICES,384,8/16/22
"*STEINER SECURITY SERVICES, INC",PURCHASE OF SECURITY SERVICES,49657.15,12/22/22
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,731.31,6/9/22
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,49.09,1/27/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,2470.65,12/1/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,2/17/22
DAVID WISE,CONTRACTUAL SERVICES,13440,2/1/22
"CROWE, LLP",FINANCIAL & TREAS SVCS,120000,6/2/22
AVONDALE INVESTORS LLC,FACILITY RENTAL,26265,8/9/22
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,700.8,12/22/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,69.7,5/19/22
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,947.48,4/21/22
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5708.33,1/27/22
PLANET DEPOS LLC,LEGAL COSTS,482.77,7/7/22
"*MOTR GRAFX, LLC",CONTRACTUAL SERVICES,2569,11/3/22
AICPA,GENERAL EXPENSES,315,9/12/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,1650.88,12/8/22
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,1981,4/13/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,12323.65,3/8/22
"WISCO, INC.",DIRECT PURCHASES,457.54,5/19/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,60855,3/24/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,18978.46,12/22/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,4838.54,12/6/22
"GENFARE, A DIVISION OF SPX CORPORATION",MAINTENANCE & REPAIRS,33958.35,8/11/22
MASTERGRAPHICS,ADVERTISING & PROMOTION,25635,2/3/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,7570.15,7/5/22
*MOORE SECURITY INC.,PURCHASE OF SECURITY SERVICES,23303.64,12/1/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,5479.41,9/13/22
"*GALAXY ENVIRONMENTAL, INC.",MAINTENANCE & REPAIRS,46088.88,7/7/22
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,115534.68,2/17/22
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,719065.58,10/17/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,45118.53,1/6/22
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,385.67,4/28/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,270,4/4/22
*HIGHWAY SAFETY CORPORATON,EQUIPMENT RENTAL,30599.5,10/25/22
CDW GOVERNMENT LLC,DIRECT PURCHASES,417.48,9/20/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,19417,10/6/22
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,1280,1/19/22
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,13714.67,8/25/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,4/14/22
"RADICOM, INC.",MAINTENANCE & REPAIRS,6725,7/19/22
"MYERS SERVICE, INC.",LEGAL COSTS,1040,9/1/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,2760,11/29/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,22355,1/10/22
"WISCO, INC.",DIRECT PURCHASES,415.15,7/7/22
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,2002.9,4/26/22
"WISCO, INC.",DIRECT PURCHASES,289.21,10/17/22
MID-WEST SIGN SUPPLY CO,MAINTENANCE & REPAIRS,3837.38,3/8/22
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16593.53,7/14/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,23044,10/20/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,1074,7/14/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,4608.36,1/27/22
JMKOC LLC,ADMINISTRATION & HR,750,7/7/22
Konecranes,MAINTENANCE & REPAIRS,6611.34,11/10/22
"*ALLPOINTS SECURITY AND DETECTIVE, INC.",PURCHASE OF SECURITY SERVICES,43637.95,2/1/22
SOCIETY FOR TECHNICAL COMMUNICATION,GENERAL EXPENSES,280,5/12/22
MYERS & BRIGGS FOUNDATION,TRAVEL & MEETING EXPENSE,5828,6/23/22
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",GENERAL EXPENSES,1357.4,9/1/22
"JUST ELEVATOR INSPECTION SERVICE, INC.",MAINTENANCE & REPAIRS,9380,9/22/22
LEXITAS,GENERAL EXPENSES,2535.89,9/1/22
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50,5/19/22
DLT SOLUTIONS LLC,MAINTENANCE & REPAIRS,14558.9,10/26/22
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,5708.33,5/26/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
