VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,69.17,8/2/2023
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,10025.00,11/8/2023
AN EXECUTIVE DECISION,CONTRACTUAL SERVICES,7600.00,2/9/2023
TOWN OF CICERO,UTILITIES EXPENSE,4068.18,4/6/2023
TITO YAO M.D. S.C,ADMINISTRATION & HR,125.00,4/13/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,33.56,4/27/2023
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1084.00,6/22/2023
LEXITAS,LEGAL COSTS,284.30,1/5/2023
"108 NORTH STATE ST. (CHICAGO) OWNER,LLC",FACILITY RENTAL,33000.00,3/9/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,4/20/2023
EARL FULLENWIDER,LEGAL COSTS,150.00,5/18/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,200.00,7/13/2023
MEDICAL AND FORENSIC NEUROPSYCHOLOGY,CONTRACTUAL SERVICES,695.00,8/24/2023
"ANTHONY POPELKA, EMS",ADMINISTRATION & HR,25.00,3/9/2023
WORK LOSS DATA INSTITUTE,FINANCIAL & TREAS SVCS,4370.00,4/27/2023
RUSSELL R. ROGERS,CONTRACTUAL SERVICES,11250.00,4/27/2023
"LUMINATOR TECHNOLOGY GROUP GLOBAL, LLC dba LUMINATOR TECHNOLOGY GROUP",MAINTENANCE & REPAIRS,23625.00,8/15/2023
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,4425.66,11/2/2023
GRANT LAW LLC,LEGAL COSTS,2092.00,11/24/2023
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,20439.79,12/7/2023
"OER SERVICES, LLC",CONTRACTUAL SERVICES,4325.00,1/12/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,3880.00,1/3/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,11884.72,3/16/2023
DAVIS BANCORP,FINANCIAL & TREAS SVCS,24523.10,4/6/2023
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1103.00,4/6/2023
TITO YAO M.D. S.C,ADMINISTRATION & HR,500.00,4/13/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,1230.25,8/15/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,133289.39,6/20/2023
VILLAGE OF RICHTON PARK,GENERAL EXPENSES,300.00,6/29/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,20057.29,12/19/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,29357.02,7/27/2023
5366 LOGISTICS CORP,DIRECT PURCHASES,3003.59,8/1/2023
DIRECT ENERGY BUSINESS LLC,UTILITIES EXPENSE,10287.02,8/15/2023
HERC RENTALS INC.,CONTRACTUAL SERVICES,4926.00,8/10/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,3753130.56,8/25/2023
PNC BANK,TRAVEL & MEETING EXPENSE,8609.67,10/16/2023
CHICAGO NEWS WEEKLY LLC,TRAVEL & MEETING EXPENSE,3000.00,11/9/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,31529.54,12/21/2023
ABACUS SERVICE CORPORATION,CONTRACTUAL SERVICES,12566.40,1/12/2023
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,1021.00,3/23/2023
"THOMPSON COBURN, LLC",LEGAL COSTS,3923.50,3/21/2023
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,18911.00,5/11/2023
ARTURO FRESAN,CONTRACTUAL SERVICES,1000.00,6/29/2023
PNC BANK,CONTRACTUAL SERVICES,4759.59,7/17/2023
"INSPE ASSOCIATES,LTD.",ADMINISTRATION & HR,4860.00,9/21/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,3042.46,10/19/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,11/30/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,12/7/2023
HI WAY BAKERY,TRAVEL & MEETING EXPENSE,1470.00,3/13/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,2017.28,4/20/2023
*HIGHWAY SAFETY CORPORATON,EQUIPMENT RENTAL,4035.00,5/30/2023
AVONDALE INVESTORS LLC,FACILITY RENTAL,46996.49,11/2/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,9385.45,2/9/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,7750.00,3/21/2023
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,63777.40,3/23/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,1367.49,6/22/2023
METRA,EQUIPMENT RENTAL,25.00,7/13/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,2656.00,2/9/2023
NORTHERN ILLINOIS GAS,UTILITIES EXPENSE,12275.18,2/2/2023
ELITE ORTHOPAEDICS AND SPORTS MEDICINE LLC,ADMINISTRATION & HR,800.00,6/22/2023
MEDICAL BUSINESS ASSOCIATES,CONSULTING,368.11,7/13/2023
TOOMEY REPORTING,LEGAL COSTS,145.00,9/14/2023
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,5000.00,9/21/2023
*Freddies Inc,TRAVEL & MEETING EXPENSE,1264.60,10/19/2023
"INSPE ASSOCIATES,LTD.",ADMINISTRATION & HR,3390.00,4/27/2023
HUSEBY GLOBAL LITIGATION,LEGAL COSTS,338.60,7/20/2023
CHICAGO SPORTS & SPINE,ADMINISTRATION & HR,750.00,8/17/2023
VALUES FORWARD FOR HEALTH LLC,LEGAL COSTS,7812.50,9/21/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,40068.05,12/19/2023
MARTIN J LUBY LLC,CONSULTING,7500.00,1/12/2023
MODERN HIRE,CONTRACTUAL SERVICES,77350.00,1/26/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,6414.68,2/9/2023
UIW CAREER CENTER,ADVERTISING & PROMOTION,500.00,2/9/2023
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000.00,3/16/2023
"INSPE ASSOCIATES,LTD.",ADMINISTRATION & HR,1260.00,4/20/2023
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,9819.65,7/6/2023
"MYTHICS, INC.",TECHNOLOGY SERVICES,76527.75,9/28/2023
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,5952.49,10/5/2023
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,8191.25,1/24/2023
EQUIFAX WORKFORCE SOLUTIONS LLC,CONTRACTUAL SERVICES,150.00,2/9/2023
PETER R. MEYERS,LEGAL COSTS,1800.00,6/22/2023
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,421837.66,7/25/2023
NIKKI HALE CONSULTING INC,CONTRACTUAL SERVICES,3000.00,9/28/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,7549.50,1/19/2023
*MOORE SECURITY INC.,PURCHASE OF SECURITY SERVICES,28210.85,1/3/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,14318.00,1/12/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,1137.78,2/2/2023
TOMPKINS PRINTING EQUIPMENT CO.,MAINTENANCE & REPAIRS,3150.05,2/22/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,19557.75,3/9/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,3930.00,3/21/2023
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,6000.00,3/30/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,2805.00,4/6/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,7468.18,6/15/2023
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,1028.55,5/25/2023
TAMIKA PRESS,CONTRACTUAL SERVICES,3000.00,6/22/2023
"THE MCS GROUP, INC.",ADMINISTRATION & HR,168.55,7/13/2023
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,98510.11,7/27/2023
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,90935.81,8/29/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,916.20,9/5/2023
MICHAEL BEST & FRIEDRICH-CHGO,LEGAL COSTS,118.00,8/24/2023
COMPUTER AID INC,TECHNOLOGY SERVICES,809099.20,10/19/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,15482.99,10/19/2023
ALSCO Inc.,GENERAL EXPENSES,119.75,10/26/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,104598.07,11/30/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,386364.54,11/30/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,166067.51,12/5/2023
"DELIVRA, INC",TECHNOLOGY SERVICES,1041.00,12/19/2023
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,6583.33,12/21/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2559.73,1/5/2023
CONTINENTAL LANGUAGES LLC,CONTRACTUAL SERVICES,300.00,1/5/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,34567.75,2/23/2023
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,38.95,3/2/2023
UTILITY TRANSPORT SERVICE,DIRECT PURCHASES,15914.14,3/23/2023
JAMIL SALMAN,GENERAL EXPENSES,750.00,3/23/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,20196.86,3/30/2023
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,4766.82,4/6/2023
NOTARY PUBLIC ASSOCIATION,GENERAL EXPENSES,66.95,4/13/2023
ORTHO EXPERTS,ADMINISTRATION & HR,750.00,6/8/2023
Evanston Woman Magazine,ADVERTISING & PROMOTION,2500.00,9/12/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,40570.04,9/21/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,1596.00,10/17/2023
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,1476107.33,11/14/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,756.00,2/2/2023
TAB SERVICE COMPANY,GENERAL EXPENSES,2964.22,4/13/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,330.00,4/13/2023
"RIB GROUP CONSULTING, INC.",CONSULTING,21900.00,4/13/2023
*Freddies Inc,GENERAL EXPENSES,2478.99,6/1/2023
Caesar Perez,CONTRACTUAL SERVICES,1000.00,7/13/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,200.00,7/13/2023
AN EXECUTIVE DECISION,EQUIPMENT RENTAL,2399.19,8/2/2023
"CEMBRE, INC",MAINTENANCE & REPAIRS,351.40,9/26/2023
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,36714.80,8/15/2023
CINTAS CORPORATION 2,CONTRACTUAL SERVICES,6031.60,8/22/2023
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,7668.42,2/2/2023
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,20115.00,4/20/2023
HERC RENTALS INC.,CONTRACTUAL SERVICES,1642.00,6/8/2023
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,1701.36,7/12/2023
DELL MARKETING L.P.,TECHNOLOGY SERVICES,1130400.00,6/27/2023
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,421837.66,9/5/2023
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,17512.81,9/21/2023
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,2750.00,10/19/2023
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,261.93,3/9/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,248802.37,7/20/2023
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,394.00,7/27/2023
MEDICAL AND FORENSIC NEUROPSYCHOLOGY,CONSULTING,34055.00,8/2/2023
"*STEINER SECURITY SERVICES, INC",PURCHASE OF SECURITY SERVICES,77658.37,8/24/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,8107.75,10/26/2023
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,828.03,11/22/2023
AURIGA CORPORATION,GENERAL EXPENSES,48777.47,2/23/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,21118.44,3/9/2023
"MWM CONSULTING GROUP, INC.",CONSULTING,18250.00,3/23/2023
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,3913.12,6/27/2023
"National Tek Services, Inc",TECHNOLOGY SERVICES,14638.00,8/31/2023
GRANT LAW LLC,LEGAL COSTS,5389.50,10/31/2023
"ORACLE AMERICA, INC.",MAINTENANCE & REPAIRS,540698.82,1/26/2023
AT & T CORP,UTILITIES EXPENSE,614519.20,1/24/2023
DWAYNE RICKS,LEGAL COSTS,75.00,4/27/2023
*FALK ASSOCIATES,ADVERTISING & PROMOTION,5883.02,6/15/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,44286.05,2/21/2023
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16455.10,3/28/2023
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,37014.53,8/31/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1192.73,9/21/2023
"CONCARE, INC.",MAINTENANCE & REPAIRS,13113.32,11/22/2023
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,50283.28,1/3/2023
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,DIRECT PURCHASES,15694.10,1/5/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,358788.13,1/31/2023
"T-MOBILE USA, INC.",UTILITIES EXPENSE,36308.40,2/28/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,6218.83,3/28/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,610.80,3/2/2023
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,4635.00,5/25/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,2981.43,9/7/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100.00,7/13/2023
RCE Equipment Solutions Inc,DIRECT PURCHASES,1114.95,8/4/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,24567.59,9/5/2023
"INTER-CON SECURITY SYSTEMS, INC",PURCHASE OF SECURITY SERVICES,2736839.35,9/21/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,14313.25,11/9/2023
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,799.90,7/13/2023
CLAREMONT LLC,ADMINISTRATION & HR,2350.00,8/24/2023
ENO TRANSPORTATION FOUNDATION,GENERAL EXPENSES,3500.00,9/21/2023
CHICAGO POLICE DEPT.,LEGAL COSTS,25.00,10/26/2023
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,430.91,11/16/2023
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,170.80,11/9/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,845.00,11/14/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,46624.00,11/16/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,2252820.62,1/3/2023
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,73.20,3/2/2023
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,125247.33,3/23/2023
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,177.65,4/4/2023
STANDARD EQUIPMENT COMPANY,DIRECT PURCHASES,1834.74,6/1/2023
VILLAGE OF RIVER GROVE,UTILITIES EXPENSE,33.22,8/17/2023
"*MULTILINGUAL CONNECTIONS, LLC",CONTRACTUAL SERVICES,414.00,11/7/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,1685.80,3/23/2023
MICHELLE BOHN PA C,ADMINISTRATION & HR,337.50,3/2/2023
PITNEY BOWES GLOBAL MAILING SYSTEMS,CONTRACTUAL SERVICES,2362.39,3/23/2023
"PRISM PACKAGING CONSULTANTS, LLC.",MAINTENANCE & REPAIRS,592.17,4/6/2023
TRANSPORTATION SAFETY INSTITUTE,TRAVEL & MEETING EXPENSE,1740.00,4/13/2023
"108 NORTH STATE ST. (CHICAGO) OWNER,LLC",FACILITY RENTAL,33000.00,7/13/2023
"THE MCS GROUP, INC.",ADMINISTRATION & HR,157.44,8/31/2023
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,19503.00,8/31/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,13099.90,11/7/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,20736.32,11/30/2023
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1103.00,11/2/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,455.00,2/23/2023
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,23878.79,5/4/2023
LOEVY & LOEVY ATTORNEYS AT LAW,GENERAL EXPENSES,5500.00,7/27/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,1015.00,10/5/2023
HARSCO RAIL,TRAVEL & MEETING EXPENSE,14163.59,12/21/2023
CINTAS CORPORATION 2,CONTRACTUAL SERVICES,4931.36,10/19/2023
COOK COUNTY SHERIFF DEPARTMENT,MAINTENANCE & REPAIRS,43185.96,4/13/2023
TAMIKA PRESS,CONTRACTUAL SERVICES,3000.00,7/6/2023
"LEXISNEXIS EXAMEN, INC.",CONTRACTUAL SERVICES,6000.00,10/19/2023
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125.00,1/31/2023
ILLINOIS TECH CAREER SERVICES,GENERAL EXPENSES,150.00,3/9/2023
DIRECT ENERGY BUSINESS LLC,UTILITIES EXPENSE,136177.77,6/1/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,330.00,7/6/2023
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,200.00,10/26/2023
CITY COLLEGES OF CHICAGO,TRAVEL & MEETING EXPENSE,434.00,7/14/2023
DAVIS BANCORP,FINANCIAL & TREAS SVCS,66931.35,8/24/2023
"*EVERLIGHTS, INC.",MAINTENANCE & REPAIRS,1200.00,11/28/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,10/19/2023
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,352586.90,2/28/2023
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,109.36,5/4/2023
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,137.09,7/27/2023
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,4890.92,8/10/2023
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,900.00,9/5/2023
"MYTHICS, INC.",TECHNOLOGY SERVICES,741.11,9/7/2023
KENOSHA COUNTY SHERIFFS OFFICE,LEGAL COSTS,40.00,12/14/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,5445.00,1/19/2023
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,7304.87,1/5/2023
"HITACHI RAIL STS USA, INC.",DIRECT PURCHASES,1010.96,2/2/2023
COMPUTER AID INC,TECHNOLOGY SERVICES,727533.54,1/26/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,4805.29,4/25/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,10946.99,3/2/2023
ANCEL GLINK P.C.,LEGAL COSTS,9770.00,3/16/2023
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,19777.91,4/13/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,3500.00,4/13/2023
GENUINE PARTS COMPANY (NAPA),GENERAL EXPENSES,2059.81,5/11/2023
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,814.00,8/2/2023
*SYNERGY DEVELOPMENT LIMITED,MAINTENANCE & REPAIRS,21500.00,7/18/2023
CITY OF EVANSTON,UTILITIES EXPENSE,717.26,8/4/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,18605.94,9/28/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,69479.00,9/21/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,9815.80,10/12/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,13526.00,10/12/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2588.45,10/17/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,43116.00,10/26/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,495.00,11/16/2023
LOEVY & LOEVY ATTORNEYS AT LAW,GENERAL EXPENSES,5500.00,11/22/2023
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,18970.00,1/10/2023
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,3371.00,1/26/2023
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125.00,2/16/2023
PLANET DEPOS LLC,LEGAL COSTS,817.20,3/30/2023
PLANET DEPOS LLC,LEGAL COSTS,395.00,4/20/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,15960.55,5/25/2023
PNC BANK,TRAVEL & MEETING EXPENSE,7160.40,6/16/2023
MEDICAL BUSINESS ASSOCIATES,LEGAL COSTS,450.00,7/20/2023
"T-MOBILE USA, INC.",UTILITIES EXPENSE,36205.13,8/17/2023
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,49214.49,9/28/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,1654.03,11/16/2023
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,13612.46,12/21/2023
